SITE CODE= ëÂç„íÜâõãÊëÂéËëO
LAT=  34.6821
LON= 135.5184
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 30
NS, EW, UD
   -0.134,   -0.402,    0.050
   -0.144,   -0.405,    0.036
   -0.137,   -0.394,    0.013
   -0.123,   -0.385,   -0.012
   -0.107,   -0.383,   -0.028
   -0.089,   -0.384,   -0.027
   -0.077,   -0.382,   -0.018
   -0.084,   -0.375,   -0.016
   -0.114,   -0.368,   -0.021
   -0.148,   -0.366,   -0.025
   -0.163,   -0.371,   -0.027
   -0.154,   -0.384,   -0.030
   -0.138,   -0.394,   -0.035
   -0.135,   -0.391,   -0.041
   -0.152,   -0.380,   -0.047
   -0.172,   -0.377,   -0.051
   -0.175,   -0.391,   -0.044
   -0.161,   -0.408,   -0.028
   -0.152,   -0.417,   -0.018
   -0.162,   -0.415,   -0.025
   -0.182,   -0.416,   -0.039
   -0.187,   -0.420,   -0.038
   -0.170,   -0.413,   -0.020
   -0.151,   -0.384,   -0.002
   -0.146,   -0.348,    0.004
   -0.152,   -0.332,    0.006
   -0.155,   -0.343,    0.010
   -0.151,   -0.359,    0.009
   -0.143,   -0.356,    0.002
   -0.132,   -0.333,    0.002
   -0.114,   -0.311,    0.013
   -0.094,   -0.306,    0.022
   -0.082,   -0.315,    0.013
   -0.075,   -0.319,   -0.001
   -0.066,   -0.307,   -0.005
   -0.048,   -0.289,   -0.005
   -0.031,   -0.278,   -0.023
   -0.021,   -0.275,   -0.053
   -0.014,   -0.265,   -0.068
   -0.002,   -0.241,   -0.063
    0.013,   -0.211,   -0.063
    0.027,   -0.196,   -0.083
    0.037,   -0.203,   -0.108
    0.048,   -0.212,   -0.116
    0.060,   -0.202,   -0.104
    0.072,   -0.170,   -0.087
    0.080,   -0.142,   -0.072
    0.078,   -0.134,   -0.060
    0.064,   -0.140,   -0.055
    0.048,   -0.134,   -0.059
    0.051,   -0.106,   -0.057
    0.076,   -0.072,   -0.040
    0.099,   -0.057,   -0.019
    0.102,   -0.066,   -0.014
    0.093,   -0.075,   -0.024
    0.100,   -0.060,   -0.031
    0.130,   -0.022,   -0.025
    0.159,    0.012,   -0.014
    0.175,    0.023,   -0.008
    0.187,    0.013,   -0.009
    0.205,    0.007,   -0.012
    0.220,    0.020,   -0.018
    0.224,    0.049,   -0.023
    0.228,    0.080,   -0.019
    0.241,    0.100,   -0.001
    0.256,    0.105,    0.018
    0.257,    0.104,    0.024
    0.249,    0.107,    0.016
    0.249,    0.122,    0.009
    0.258,    0.143,    0.012
    0.260,    0.160,    0.028
    0.246,    0.164,    0.044
    0.223,    0.159,    0.050
    0.205,    0.154,    0.039
    0.193,    0.157,    0.023
    0.182,    0.169,    0.018
    0.168,    0.189,    0.031
    0.155,    0.205,    0.051
    0.141,    0.207,    0.063
    0.128,    0.191,    0.066
    0.118,    0.173,    0.067
    0.114,    0.171,    0.069
    0.113,    0.187,    0.073
    0.115,    0.208,    0.079
    0.117,    0.218,    0.087
    0.117,    0.216,    0.096
    0.113,    0.209,    0.100
    0.108,    0.205,    0.097
    0.106,    0.207,    0.093
    0.105,    0.214,    0.091
    0.098,    0.225,    0.096
    0.089,    0.237,    0.105
    0.089,    0.244,    0.109
    0.101,    0.244,    0.102
    0.113,    0.231,    0.088
    0.114,    0.209,    0.084
    0.105,    0.190,    0.091
    0.096,    0.185,    0.092
    0.092,    0.195,    0.076
    0.100,    0.210,    0.056
    0.119,    0.213,    0.050
    0.136,    0.201,    0.057
    0.129,    0.176,    0.061
    0.094,    0.150,    0.057
    0.054,    0.137,    0.057
    0.039,    0.142,    0.060
    0.051,    0.151,    0.055
    0.067,    0.141,    0.041
    0.073,    0.104,    0.035
    0.069,    0.064,    0.043
    0.055,    0.046,    0.050
    0.034,    0.051,    0.038
    0.019,    0.060,    0.014
    0.032,    0.061,    0.003
    0.076,    0.061,    0.011
    0.117,    0.066,    0.024
    0.122,    0.070,    0.032
    0.095,    0.063,    0.032
    0.068,    0.054,    0.028
    0.070,    0.056,    0.027
    0.095,    0.073,    0.030
    0.115,    0.096,    0.032
    0.115,    0.117,    0.024
    0.099,    0.138,    0.008
    0.085,    0.162,   -0.001
    0.080,    0.182,    0.004
    0.070,    0.192,    0.007
    0.046,    0.199,   -0.014
    0.022,    0.217,   -0.053
    0.022,    0.255,   -0.086
    0.047,    0.304,   -0.105
    0.062,    0.344,   -0.121
    0.041,    0.360,   -0.143
    0.002,    0.356,   -0.161
   -0.017,    0.347,   -0.171
   -0.012,    0.353,   -0.182
   -0.015,    0.376,   -0.202
   -0.043,    0.399,   -0.221
   -0.073,    0.399,   -0.225
   -0.075,    0.377,   -0.217
   -0.059,    0.356,   -0.210
   -0.055,    0.357,   -0.209
   -0.075,    0.373,   -0.205
   -0.097,    0.372,   -0.197
   -0.098,    0.338,   -0.193
   -0.078,    0.292,   -0.198
   -0.052,    0.273,   -0.205
   -0.030,    0.292,   -0.202
   -0.014,    0.313,   -0.192
   -0.009,    0.299,   -0.183
   -0.011,    0.254,   -0.183
   -0.007,    0.219,   -0.186
    0.014,    0.217,   -0.179
    0.050,    0.229,   -0.163
    0.078,    0.221,   -0.149
    0.079,    0.190,   -0.145
    0.059,    0.164,   -0.144
    0.045,    0.160,   -0.134
    0.058,    0.161,   -0.116
    0.087,    0.139,   -0.104
    0.102,    0.096,   -0.107
    0.083,    0.055,   -0.111
    0.045,    0.036,   -0.108
    0.022,    0.035,   -0.104
    0.029,    0.035,   -0.113
    0.046,    0.025,   -0.128
    0.043,    0.003,   -0.135
    0.010,   -0.025,   -0.132
   -0.036,   -0.048,   -0.133
   -0.062,   -0.055,   -0.140
   -0.060,   -0.048,   -0.140
   -0.051,   -0.041,   -0.127
   -0.066,   -0.050,   -0.113
   -0.114,   -0.076,   -0.111
   -0.169,   -0.105,   -0.112
   -0.204,   -0.127,   -0.099
   -0.217,   -0.140,   -0.078
   -0.228,   -0.149,   -0.069
   -0.249,   -0.156,   -0.075
   -0.270,   -0.162,   -0.077
   -0.282,   -0.172,   -0.066
   -0.294,   -0.194,   -0.057
   -0.314,   -0.225,   -0.061
   -0.331,   -0.253,   -0.068
   -0.328,   -0.269,   -0.057
   -0.308,   -0.275,   -0.031
   -0.300,   -0.280,   -0.016
   -0.320,   -0.291,   -0.020
   -0.346,   -0.305,   -0.022
   -0.349,   -0.322,   -0.005
   -0.330,   -0.348,    0.022
   -0.314,   -0.383,    0.041
   -0.318,   -0.414,    0.050
   -0.334,   -0.423,    0.060
   -0.351,   -0.410,    0.069
   -0.373,   -0.398,    0.070
   -0.399,   -0.402,    0.065
   -0.416,   -0.414,    0.067
   -0.412,   -0.419,    0.080
   -0.406,   -0.419,    0.089
   -0.421,   -0.428,    0.087
   -0.447,   -0.445,    0.084
   -0.453,   -0.448,    0.089
   -0.423,   -0.425,    0.096
   -0.387,   -0.389,    0.095
   -0.376,   -0.363,    0.089
   -0.386,   -0.357,    0.096
   -0.385,   -0.361,    0.120
   -0.362,   -0.366,    0.144
   -0.334,   -0.363,    0.155
   -0.319,   -0.341,    0.160
   -0.311,   -0.296,    0.173
   -0.291,   -0.242,    0.191
   -0.260,   -0.207,    0.203
   -0.235,   -0.205,    0.207
   -0.223,   -0.212,    0.211
   -0.215,   -0.199,    0.223
   -0.203,   -0.156,    0.236
   -0.183,   -0.102,    0.238
   -0.158,   -0.061,    0.225
   -0.126,   -0.034,    0.206
   -0.087,   -0.012,    0.194
   -0.047,    0.016,    0.189
   -0.020,    0.049,    0.180
   -0.004,    0.079,    0.170
    0.016,    0.101,    0.166
    0.051,    0.116,    0.171
    0.089,    0.130,    0.169
    0.112,    0.146,    0.150
    0.123,    0.159,    0.123
    0.143,    0.168,    0.109
    0.184,    0.176,    0.110
    0.226,    0.186,    0.110
    0.242,    0.197,    0.104
    0.237,    0.205,    0.103
    0.237,    0.210,    0.111
    0.252,    0.216,    0.110
    0.268,    0.227,    0.088
    0.276,    0.240,    0.066
    0.286,    0.254,    0.072
    0.306,    0.266,    0.097
    0.328,    0.268,    0.109
    0.334,    0.262,    0.094
    0.324,    0.256,    0.071
    0.319,    0.265,    0.066
    0.336,    0.291,    0.076
    0.367,    0.313,    0.087
    0.392,    0.309,    0.092
    0.394,    0.280,    0.094
    0.371,    0.251,    0.090
    0.340,    0.242,    0.078
    0.325,    0.250,    0.064
    0.339,    0.253,    0.055
    0.361,    0.238,    0.050
    0.359,    0.206,    0.042
    0.316,    0.171,    0.037
    0.257,    0.141,    0.040
    0.218,    0.116,    0.050
    0.211,    0.095,    0.053
    0.218,    0.081,    0.044
    0.213,    0.077,    0.035
    0.184,    0.077,    0.037
    0.141,    0.066,    0.049
    0.105,    0.034,    0.064
    0.087,   -0.005,    0.079
    0.081,   -0.029,    0.095
    0.065,   -0.026,    0.110
    0.032,   -0.015,    0.115
   -0.004,   -0.023,    0.110
   -0.022,   -0.054,    0.105
   -0.025,   -0.083,    0.114
   -0.032,   -0.088,    0.135
   -0.057,   -0.073,    0.152
