SITE CODE= ìﬁó«ésêºãIéõí¨
LAT=  34.6743
LON= 135.8322
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
   -0.345,   -0.214,   -0.126
   -0.325,   -0.204,   -0.136
   -0.308,   -0.193,   -0.143
   -0.293,   -0.181,   -0.150
   -0.279,   -0.167,   -0.158
   -0.265,   -0.149,   -0.166
   -0.251,   -0.129,   -0.171
   -0.237,   -0.108,   -0.170
   -0.226,   -0.089,   -0.165
   -0.214,   -0.071,   -0.159
   -0.201,   -0.053,   -0.152
   -0.184,   -0.034,   -0.143
   -0.167,   -0.017,   -0.132
   -0.151,   -0.005,   -0.118
   -0.135,    0.003,   -0.102
   -0.120,    0.008,   -0.084
   -0.104,    0.011,   -0.067
   -0.087,    0.010,   -0.050
   -0.070,    0.006,   -0.034
   -0.050,   -0.001,   -0.016
   -0.028,   -0.009,    0.003
   -0.007,   -0.020,    0.023
    0.012,   -0.033,    0.040
    0.030,   -0.050,    0.053
    0.047,   -0.071,    0.062
    0.062,   -0.095,    0.071
    0.073,   -0.117,    0.078
    0.078,   -0.140,    0.082
    0.081,   -0.163,    0.080
    0.086,   -0.186,    0.069
    0.095,   -0.207,    0.052
    0.106,   -0.227,    0.032
    0.114,   -0.243,    0.011
    0.121,   -0.258,   -0.012
    0.129,   -0.268,   -0.036
    0.140,   -0.273,   -0.061
    0.151,   -0.275,   -0.087
    0.162,   -0.274,   -0.113
    0.171,   -0.274,   -0.138
    0.181,   -0.273,   -0.159
    0.191,   -0.270,   -0.174
    0.200,   -0.267,   -0.183
    0.206,   -0.262,   -0.190
    0.208,   -0.256,   -0.196
    0.208,   -0.248,   -0.199
    0.208,   -0.239,   -0.198
    0.208,   -0.230,   -0.193
    0.208,   -0.219,   -0.188
    0.209,   -0.209,   -0.187
    0.212,   -0.198,   -0.187
    0.217,   -0.187,   -0.189
    0.225,   -0.177,   -0.190
    0.237,   -0.163,   -0.187
    0.251,   -0.150,   -0.185
    0.266,   -0.134,   -0.184
    0.283,   -0.120,   -0.188
    0.301,   -0.107,   -0.193
    0.323,   -0.093,   -0.194
    0.346,   -0.080,   -0.191
    0.369,   -0.065,   -0.184
    0.392,   -0.048,   -0.174
    0.413,   -0.030,   -0.168
    0.435,   -0.012,   -0.166
    0.456,    0.003,   -0.168
    0.476,    0.015,   -0.171
    0.495,    0.025,   -0.176
    0.514,    0.034,   -0.181
    0.530,    0.042,   -0.190
    0.540,    0.047,   -0.201
    0.545,    0.052,   -0.215
    0.541,    0.056,   -0.227
    0.531,    0.062,   -0.235
    0.515,    0.069,   -0.237
    0.493,    0.076,   -0.236
    0.461,    0.082,   -0.230
    0.420,    0.088,   -0.219
    0.374,    0.097,   -0.203
    0.325,    0.107,   -0.179
    0.273,    0.116,   -0.149
    0.221,    0.125,   -0.116
    0.168,    0.132,   -0.082
    0.117,    0.141,   -0.050
    0.070,    0.150,   -0.016
    0.028,    0.157,    0.018
   -0.013,    0.160,    0.050
   -0.052,    0.162,    0.075
   -0.085,    0.166,    0.095
   -0.109,    0.173,    0.107
   -0.125,    0.180,    0.113
   -0.135,    0.184,    0.115
   -0.141,    0.187,    0.114
   -0.145,    0.192,    0.112
   -0.146,    0.201,    0.106
   -0.146,    0.212,    0.096
   -0.144,    0.223,    0.081
   -0.141,    0.236,    0.065
   -0.137,    0.251,    0.052
   -0.133,    0.272,    0.045
   -0.128,    0.297,    0.040
   -0.122,    0.323,    0.037
   -0.116,    0.346,    0.038
   -0.112,    0.366,    0.042
   -0.109,    0.387,    0.050
   -0.105,    0.406,    0.061
   -0.098,    0.421,    0.071
   -0.086,    0.426,    0.081
   -0.071,    0.423,    0.093
   -0.056,    0.412,    0.109
   -0.041,    0.400,    0.127
   -0.024,    0.385,    0.146
   -0.005,    0.367,    0.165
    0.014,    0.348,    0.187
    0.034,    0.325,    0.211
    0.052,    0.303,    0.237
    0.068,    0.281,    0.266
    0.084,    0.260,    0.296
    0.100,    0.239,    0.327
    0.114,    0.217,    0.360
    0.125,    0.196,    0.392
    0.131,    0.178,    0.423
    0.135,    0.161,    0.450
    0.135,    0.147,    0.473
    0.135,    0.135,    0.491
    0.134,    0.126,    0.502
    0.134,    0.119,    0.507
    0.130,    0.113,    0.506
    0.124,    0.106,    0.503
    0.112,    0.095,    0.497
    0.096,    0.083,    0.487
    0.076,    0.070,    0.473
    0.050,    0.055,    0.455
    0.016,    0.039,    0.434
   -0.022,    0.019,    0.412
   -0.065,   -0.002,    0.389
   -0.110,   -0.021,    0.365
   -0.155,   -0.036,    0.342
   -0.201,   -0.050,    0.319
   -0.248,   -0.063,    0.299
   -0.297,   -0.075,    0.279
   -0.346,   -0.086,    0.258
   -0.392,   -0.092,    0.234
   -0.434,   -0.097,    0.207
   -0.473,   -0.102,    0.181
   -0.507,   -0.104,    0.153
   -0.539,   -0.104,    0.126
   -0.567,   -0.102,    0.095
   -0.594,   -0.098,    0.061
   -0.618,   -0.095,    0.023
   -0.637,   -0.091,   -0.013
   -0.654,   -0.086,   -0.047
   -0.666,   -0.081,   -0.078
   -0.674,   -0.077,   -0.107
   -0.677,   -0.074,   -0.132
   -0.675,   -0.072,   -0.153
   -0.669,   -0.069,   -0.171
   -0.660,   -0.065,   -0.187
   -0.647,   -0.064,   -0.202
   -0.630,   -0.065,   -0.216
   -0.606,   -0.068,   -0.223
   -0.581,   -0.070,   -0.225
   -0.556,   -0.071,   -0.222
   -0.532,   -0.074,   -0.218
   -0.510,   -0.080,   -0.215
   -0.488,   -0.088,   -0.214
   -0.465,   -0.097,   -0.215
   -0.441,   -0.108,   -0.219
   -0.416,   -0.121,   -0.223
   -0.388,   -0.137,   -0.228
   -0.355,   -0.153,   -0.231
   -0.318,   -0.167,   -0.231
   -0.275,   -0.177,   -0.232
   -0.230,   -0.183,   -0.233
   -0.182,   -0.183,   -0.237
   -0.134,   -0.178,   -0.241
   -0.087,   -0.168,   -0.245
   -0.037,   -0.155,   -0.248
    0.014,   -0.139,   -0.249
    0.066,   -0.117,   -0.248
    0.114,   -0.091,   -0.245
    0.158,   -0.062,   -0.240
    0.198,   -0.034,   -0.235
    0.232,   -0.009,   -0.232
    0.260,    0.013,   -0.231
    0.280,    0.030,   -0.231
    0.292,    0.041,   -0.232
    0.297,    0.048,   -0.231
    0.295,    0.052,   -0.229
    0.282,    0.055,   -0.227
    0.260,    0.054,   -0.225
    0.230,    0.050,   -0.225
    0.193,    0.042,   -0.226
    0.152,    0.032,   -0.227
    0.109,    0.020,   -0.227
    0.066,    0.006,   -0.228
    0.025,   -0.013,   -0.230
   -0.012,   -0.035,   -0.232
   -0.045,   -0.060,   -0.236
   -0.073,   -0.084,   -0.239
   -0.097,   -0.107,   -0.244
   -0.116,   -0.131,   -0.249
   -0.131,   -0.156,   -0.254
   -0.142,   -0.181,   -0.257
   -0.150,   -0.204,   -0.255
   -0.155,   -0.227,   -0.248
   -0.156,   -0.251,   -0.235
   -0.152,   -0.276,   -0.217
   -0.143,   -0.300,   -0.194
   -0.132,   -0.323,   -0.169
   -0.120,   -0.342,   -0.146
   -0.105,   -0.360,   -0.123
   -0.088,   -0.375,   -0.101
   -0.067,   -0.387,   -0.078
   -0.044,   -0.396,   -0.056
   -0.018,   -0.401,   -0.034
    0.012,   -0.403,   -0.013
    0.043,   -0.402,    0.006
    0.077,   -0.397,    0.020
    0.115,   -0.389,    0.030
    0.157,   -0.378,    0.036
    0.203,   -0.368,    0.040
    0.253,   -0.360,    0.042
    0.304,   -0.354,    0.044
    0.354,   -0.350,    0.043
    0.401,   -0.345,    0.039
    0.446,   -0.341,    0.035
    0.487,   -0.338,    0.031
    0.524,   -0.336,    0.031
    0.556,   -0.334,    0.031
    0.585,   -0.328,    0.031
    0.611,   -0.319,    0.030
    0.631,   -0.309,    0.030
    0.645,   -0.300,    0.031
    0.652,   -0.294,    0.034
    0.653,   -0.285,    0.037
    0.650,   -0.273,    0.039
    0.644,   -0.259,    0.036
    0.637,   -0.245,    0.032
    0.629,   -0.235,    0.027
    0.621,   -0.226,    0.020
    0.614,   -0.213,    0.014
    0.605,   -0.196,    0.007
    0.594,   -0.175,   -0.003
    0.580,   -0.154,   -0.013
    0.562,   -0.134,   -0.023
    0.542,   -0.114,   -0.032
    0.520,   -0.093,   -0.039
    0.493,   -0.070,   -0.045
    0.461,   -0.046,   -0.049
    0.421,   -0.022,   -0.054
    0.375,    0.005,   -0.060
    0.324,    0.033,   -0.065
    0.271,    0.063,   -0.071
    0.216,    0.091,   -0.075
    0.161,    0.121,   -0.077
    0.108,    0.152,   -0.075
    0.058,    0.183,   -0.073
    0.011,    0.213,   -0.072
   -0.033,    0.240,   -0.071
   -0.075,    0.262,   -0.069
   -0.114,    0.283,   -0.068
   -0.151,    0.301,   -0.068
   -0.183,    0.318,   -0.068
   -0.212,    0.332,   -0.067
   -0.240,    0.343,   -0.064
   -0.265,    0.354,   -0.059
   -0.285,    0.366,   -0.050
   -0.299,    0.380,   -0.038
   -0.307,    0.396,   -0.022
   -0.314,    0.414,   -0.004
   -0.321,    0.433,    0.018
   -0.326,    0.455,    0.039
   -0.328,    0.476,    0.058
   -0.327,    0.497,    0.075
   -0.324,    0.513,    0.090
   -0.320,    0.526,    0.103
   -0.317,    0.537,    0.116
   -0.312,    0.544,    0.127
   -0.307,    0.545,    0.136
   -0.300,    0.539,    0.141
   -0.291,    0.527,    0.143
   -0.281,    0.509,    0.141
   -0.270,    0.488,    0.137
   -0.259,    0.468,    0.131
   -0.245,    0.447,    0.122
   -0.228,    0.428,    0.112
   -0.206,    0.410,    0.104
   -0.182,    0.394,    0.098
   -0.158,    0.380,    0.093
   -0.135,    0.366,    0.090
   -0.109,    0.351,    0.086
   -0.082,    0.337,    0.082
   -0.054,    0.324,    0.078
   -0.027,    0.313,    0.073
   -0.004,    0.304,    0.064
    0.015,    0.294,    0.054
    0.031,    0.286,    0.043
    0.044,    0.280,    0.034
    0.052,    0.275,    0.026
    0.056,    0.271,    0.016
    0.056,    0.262,    0.005
    0.052,    0.248,   -0.010
    0.042,    0.232,   -0.025
    0.027,    0.216,   -0.040
    0.010,    0.202,   -0.055
   -0.008,    0.189,   -0.068
   -0.027,    0.173,   -0.082
   -0.047,    0.155,   -0.098
   -0.069,    0.136,   -0.116
   -0.091,    0.116,   -0.136
   -0.114,    0.095,   -0.155
   -0.138,    0.072,   -0.172
   -0.164,    0.045,   -0.187
   -0.191,    0.018,   -0.199
   -0.216,   -0.009,   -0.210
   -0.239,   -0.034,   -0.219
   -0.260,   -0.061,   -0.225
   -0.278,   -0.088,   -0.228
   -0.294,   -0.114,   -0.230
   -0.307,   -0.139,   -0.229
   -0.318,   -0.163,   -0.223
   -0.329,   -0.188,   -0.214
   -0.339,   -0.216,   -0.202
   -0.346,   -0.245,   -0.191
   -0.350,   -0.276,   -0.178
   -0.351,   -0.312,   -0.163
   -0.349,   -0.350,   -0.145
   -0.346,   -0.392,   -0.125
   -0.342,   -0.435,   -0.104
   -0.336,   -0.475,   -0.084
   -0.326,   -0.512,   -0.061
   -0.313,   -0.542,   -0.037
   -0.297,   -0.561,   -0.015
   -0.280,   -0.571,    0.006
   -0.259,   -0.569,    0.027
   -0.234,   -0.561,    0.049
   -0.202,   -0.545,    0.073
   -0.164,   -0.524,    0.097
   -0.121,   -0.495,    0.120
   -0.076,   -0.456,    0.143
   -0.029,   -0.410,    0.167
    0.018,   -0.357,    0.192
    0.063,   -0.299,    0.216
    0.106,   -0.239,    0.235
    0.144,   -0.177,    0.246
    0.180,   -0.116,    0.250
    0.212,   -0.057,    0.251
    0.242,   -0.001,    0.253
    0.268,    0.055,    0.259
    0.287,    0.110,    0.269
    0.296,    0.161,    0.282
    0.294,    0.205,    0.294
    0.285,    0.244,    0.303
    0.270,    0.279,    0.310
    0.253,    0.311,    0.315
    0.234,    0.338,    0.322
    0.213,    0.360,    0.328
    0.189,    0.376,    0.332
    0.165,    0.387,    0.335
    0.140,    0.389,    0.333
    0.114,    0.384,    0.329
    0.089,    0.374,    0.322
    0.064,    0.360,    0.310
    0.040,    0.344,    0.295
    0.017,    0.326,    0.277
   -0.005,    0.305,    0.258
   -0.027,    0.285,    0.236
   -0.045,    0.265,    0.210
   -0.059,    0.248,    0.179
   -0.069,    0.235,    0.142
   -0.073,    0.226,    0.100
   -0.071,    0.220,    0.057
   -0.064,    0.219,    0.018
   -0.056,    0.222,   -0.016
   -0.047,    0.228,   -0.046
   -0.038,    0.234,   -0.070
   -0.027,    0.242,   -0.091
   -0.011,    0.251,   -0.111
    0.006,    0.256,   -0.128
    0.022,    0.257,   -0.142
    0.034,    0.252,   -0.153
    0.039,    0.241,   -0.161
    0.041,    0.226,   -0.168
    0.040,    0.204,   -0.175
    0.039,    0.178,   -0.181
    0.039,    0.150,   -0.188
    0.041,    0.123,   -0.193
    0.050,    0.098,   -0.194
    0.064,    0.074,   -0.192
    0.084,    0.050,   -0.186
    0.108,    0.027,   -0.175
    0.133,    0.006,   -0.164
    0.161,   -0.011,   -0.153
    0.194,   -0.028,   -0.145
    0.232,   -0.043,   -0.137
    0.274,   -0.061,   -0.127
    0.314,   -0.077,   -0.110
    0.350,   -0.092,   -0.090
    0.381,   -0.109,   -0.068
    0.409,   -0.127,   -0.046
    0.435,   -0.146,   -0.024
    0.459,   -0.162,   -0.001
    0.482,   -0.173,    0.023
    0.503,   -0.180,    0.047
    0.523,   -0.184,    0.071
    0.540,   -0.188,    0.095
    0.557,   -0.193,    0.118
    0.568,   -0.197,    0.137
    0.576,   -0.199,    0.150
    0.583,   -0.202,    0.160
    0.586,   -0.205,    0.169
    0.587,   -0.211,    0.177
    0.582,   -0.220,    0.186
    0.573,   -0.229,    0.190
    0.558,   -0.239,    0.191
    0.542,   -0.249,    0.187
    0.523,   -0.261,    0.182
    0.499,   -0.273,    0.176
    0.473,   -0.285,    0.167
    0.442,   -0.296,    0.155
    0.409,   -0.309,    0.139
    0.371,   -0.323,    0.123
    0.331,   -0.337,    0.107
    0.289,   -0.347,    0.091
    0.246,   -0.353,    0.076
    0.202,   -0.356,    0.061
    0.157,   -0.356,    0.046
    0.112,   -0.353,    0.030
    0.072,   -0.347,    0.012
    0.036,   -0.338,   -0.004
    0.005,   -0.327,   -0.018
   -0.024,   -0.315,   -0.028
   -0.048,   -0.301,   -0.034
   -0.064,   -0.284,   -0.036
   -0.074,   -0.262,   -0.033
   -0.078,   -0.238,   -0.027
   -0.081,   -0.216,   -0.020
   -0.082,   -0.197,   -0.015
   -0.083,   -0.180,   -0.009
   -0.083,   -0.165,   -0.003
   -0.084,   -0.153,    0.005
   -0.091,   -0.143,    0.012
   -0.098,   -0.139,    0.017
   -0.105,   -0.136,    0.020
   -0.109,   -0.134,    0.024
   -0.110,   -0.133,    0.031
   -0.110,   -0.134,    0.041
   -0.110,   -0.137,    0.050
   -0.110,   -0.140,    0.058
   -0.107,   -0.143,    0.065
   -0.103,   -0.145,    0.069
   -0.099,   -0.146,    0.069
   -0.098,   -0.146,    0.064
   -0.099,   -0.144,    0.057
   -0.099,   -0.141,    0.048
   -0.099,   -0.137,    0.041
   -0.099,   -0.137,    0.035
   -0.100,   -0.139,    0.030
   -0.102,   -0.144,    0.025
   -0.105,   -0.148,    0.020
   -0.107,   -0.150,    0.015
   -0.109,   -0.150,    0.008
   -0.111,   -0.148,   -0.001
   -0.116,   -0.145,   -0.012
   -0.124,   -0.141,   -0.027
   -0.136,   -0.134,   -0.044
   -0.150,   -0.124,   -0.063
   -0.167,   -0.113,   -0.082
   -0.189,   -0.102,   -0.102
   -0.214,   -0.093,   -0.119
   -0.240,   -0.083,   -0.132
   -0.267,   -0.074,   -0.142
   -0.295,   -0.065,   -0.146
   -0.326,   -0.056,   -0.148
   -0.360,   -0.046,   -0.148
   -0.393,   -0.037,   -0.150
   -0.422,   -0.028,   -0.154
   -0.446,   -0.020,   -0.157
   -0.467,   -0.015,   -0.157
   -0.486,   -0.009,   -0.155
   -0.503,   -0.000,   -0.152
   -0.513,    0.013,   -0.148
   -0.517,    0.029,   -0.144
   -0.515,    0.044,   -0.141
   -0.508,    0.057,   -0.138
   -0.495,    0.068,   -0.134
   -0.477,    0.077,   -0.128
   -0.457,    0.085,   -0.119
   -0.437,    0.088,   -0.107
   -0.417,    0.085,   -0.093
   -0.400,    0.077,   -0.080
   -0.384,    0.065,   -0.068
   -0.373,    0.050,   -0.056
   -0.366,    0.033,   -0.045
   -0.362,    0.013,   -0.035
   -0.362,   -0.007,   -0.026
   -0.363,   -0.024,   -0.018
   -0.366,   -0.038,   -0.008
   -0.368,   -0.049,    0.003
   -0.365,   -0.060,    0.012
   -0.359,   -0.068,    0.021
   -0.348,   -0.070,    0.028
   -0.335,   -0.068,    0.033
   -0.321,   -0.062,    0.035
   -0.303,   -0.054,    0.032
   -0.282,   -0.047,    0.022
