震度計番号,震度観測点名称,緯度,経度,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm],地域名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
47595,福島市松木町,37.7585,140.4706,5強,237.07,330.059,103.083,377.687,28.84,29.677,7.774,37.874,6.034,6.817,2.214,8.502,福島県中通り,福島市松木町1-9（福島地方気象台）,37,45.5,140,28.2,1889        ,
41209,大崎市古川三日町,38.5741,140.9561,5強,187.909,197.009,103.757,203.122,27.061,19.248,9.391,30.446,7.034,4.242,4.66,7.564,宮城県北部,大崎市古川三日町1-63-3（三日町公園）,38,34.4,140,57.4,199604011200,
42212,涌谷町新町裏,38.5401,141.1272,5強,215.535,150.629,96.921,223.239,21.374,21.793,5.758,25.706,5.734,5.189,1.825,7.129,宮城県北部,遠田郡涌谷町字新町裏136（涌谷町役場）,38,32.4,141,7.6,199604011200,
42213,登米市中田町,38.7103,141.2357,5弱,181.153,209.375,96.61,215.038,14.589,17.588,5.337,20.472,2.529,3.806,1.054,3.975,宮城県北部,登米市中田町宝江黒沼大海崎6,38,42.6,141,14.1,199604011200,
47569,仙台空港,38.1379,140.9278,5強,270.252,281.089,208.965,299.371,23.368,23.553,10.143,32.406,6.767,7.59,2.512,10.092,宮城県南部,名取市下増田字南原,38,8.3,140,55.7,200804011200,
41216,南相馬市原町区三島町,37.6413,140.9558,5強,573.071,605.696,219.691,640.03,18.217,32.978,7.366,35.329,3.274,8.018,1.781,8.508,福島県浜通り,南相馬市原町区三島町2-33,37,38.5,140,57.3,199604011200,
42228,浪江町幾世橋,37.4945,140.9997,6弱,513.444,514.784,434.455,542.837,23.19,38.425,8.344,42.247,3.393,8.713,1.1,8.76,福島県浜通り,双葉郡浪江町大字幾世橋字六反田7-2,37,29.7,140,60.0,199604011200,
41207,奥州市水沢大鐘町,39.1292,141.1381,4,79.763,65.006,32.177,85.026,5.546,5.293,2.864,6.596,1.639,1.661,0.685,1.95,岩手県内陸南部,奥州市水沢大鐘町2-16（水沢消防署）,39,7.8,141,8.3,199604011200,
47013,大崎市古川大崎,38.6022,140.9112,5弱,157.108,161.54,48.895,205.803,11.456,14.581,5.747,16.117,3.694,5.047,2.174,5.51,宮城県北部,大崎市古川大崎字富国263-1（宮城県古川農業試験場）,38,36.1,140,54.7,201210021200,
42210,柴田町船岡,38.0547,140.7626,5強,441.321,387.507,160.714,456.522,11.86,13.543,5.998,15.066,1.229,2.497,1.986,2.706,宮城県南部,柴田郡柴田町船岡西1-6-26（資料展示館思源閣）,38,3.3,140,45.8,199604011200,
47245,丸森町上滝,37.8692,140.7896,5弱,351.703,247.116,132.917,357.832,12.435,15.235,7.484,18.98,2.691,2.798,2.182,4.129,宮城県南部,伊具郡丸森町字上滝東23-1,37,52.2,140,47.4,199407151200,
42211,松島町高城,38.3853,141.0691,5強,197.426,161.182,132.663,221.148,15.305,21.989,6.743,25.183,2.714,5.279,1.301,5.506,宮城県中部,宮城郡松島町高城字町71（松島町勤労青少年ホーム）,38,23.1,141,4.1,201003311300,
47243,仙台青葉区大倉,38.3679,140.6602,5弱,254.594,194.118,70.1,296.658,10.155,8.36,5.712,10.993,3.334,2.065,1.849,3.884,宮城県中部,仙台市青葉区大倉字高見沢26,38,22.1,140,39.6,199407151200,
47590,仙台宮城野区五輪,38.2622,140.8968,5強,179.645,177.938,95.521,193.232,17.004,17.593,8.715,19.122,3.88,5.484,3.121,6.533,宮城県中部,仙台市宮城野区五輪1-3-15（仙台管区気象台）,38,15.7,140,53.8,19261001    ,
47592,石巻市泉町,38.4277,141.2994,5弱,176.664,156.543,72.947,183.826,11.145,7.163,4.202,12.185,2.745,1.697,1.446,3.329,宮城県中部,石巻市泉町4-1-18（石巻特別地域気象観測所）,38,25.7,141,18.0,188801      ,
41212,湯沢市沖鶴,39.174,140.4796,3,24.847,22.317,11.523,27.448,3.696,3.596,1.653,4.3,1.058,1.206,0.476,1.394,秋田県内陸南部,湯沢市沖鶴140（湯沢市総合体育館）,39,10.4,140,28.8,199604011200,
42222,遊佐町遊佐,39.012,139.9086,4,29.74,35.138,12.074,41.048,6.324,6.819,3.926,8.36,2.665,2.665,1.823,3.257,山形県庄内,飽海郡遊佐町遊佐字鶴田52-2（遊佐町生涯学習センター）,39,0.7,139,54.5,199604011200,
47587,酒田市亀ケ崎,38.9085,139.8435,4,32.575,34.576,11.341,37.391,7.346,6.536,4.149,7.412,4.955,2.625,2.41,5.159,山形県庄内,酒田市亀ケ崎1-4-14（酒田特別地域気象観測所）,38,54.5,139,50.6,200910011300,
47520,新庄市東谷地田町,38.7574,140.3122,4,47.422,50.366,24.295,50.694,5.663,6.534,4.324,7.595,3.712,3.473,2.032,4.041,山形県最上,新庄市東谷地田町6-4（新庄特別地域気象観測所）,38,45.4,140,18.7,1957        ,
42220,河北町谷地,38.4266,140.3136,4,99.377,104.322,38.858,131.168,10.154,11.754,3.946,12.451,5.037,3.858,2.18,5.384,山形県村山,西村山郡河北町谷地戊81（河北町剥製動物館）,38,25.6,140,18.8,199604011200,
41214,米沢市駅前,37.9125,140.1211,4,86.461,91.297,44.836,100.081,10.926,6.898,3.663,10.937,2.921,1.967,1.28,2.981,山形県置賜,米沢市駅前4-3-51（米沢市立第一中学校）,37,54.7,140,7.3,199604011200,
47017,米沢市アルカディア,37.9127,140.1436,5弱,125.443,107.595,41.681,132.635,9.683,6.276,3.66,9.691,2.127,1.895,1.321,2.153,山形県置賜,米沢市アルカディア１丁目808-60（上郷ふれあい公園）,37,54.8,140,8.6,201207031200,
47242,白鷹町黒鴨,38.2243,140.062,4,56.947,65.84,29.084,78.783,4.667,4.416,2.101,5.082,1.354,1.52,0.62,1.529,山形県置賜,西置賜郡白鷹町大字黒鴨字寺後443-2,38,13.5,140,3.7,199407151200,
41215,郡山市朝日,37.4009,140.36,6弱,313.349,495.969,115.722,536.66,25.1,41.949,8.911,49.213,3.705,4.491,1.304,5.723,福島県中通り,郡山市朝日1-23-7,37,24.1,140,21.6,199604011200,
47247,大玉村南小屋,37.56,140.3338,5強,267.338,387.472,188.278,388.002,20.536,26.9,18.453,30.43,3.079,3.356,3.173,4.515,福島県中通り,安達郡大玉村大山字南小屋147-1,37,33.6,140,20.0,201609161800,
47044,南相馬市鹿島区栃窪,37.7246,140.8874,5弱,336.72,311.766,188.281,361.78,13.526,11.486,5.569,16.97,2.546,3.034,1.613,4.152,福島県浜通り,南相馬市鹿島区栃窪今宮4（旧栃窪分校跡地）,37,43.5,140,53.2,201307301200,
47246,川内村下川内,37.3695,140.8712,5強,508.619,360.642,195.53,528.493,12.988,23.537,6.415,23.905,1.622,3.515,1.167,3.804,福島県浜通り,双葉郡川内村大字下川内字毛戸26-2,37,22.2,140,52.3,199407151200,
47598,いわき市小名浜,36.9479,140.9033,5弱,108.787,155.431,68.359,158.942,9.45,13.446,3.589,14.548,2.049,2.108,0.701,2.614,福島県浜通り,いわき市小名浜字船引場19（小名浜特別地域気象観測所）,36,56.9,140,54.2,192307      ,
42225,猪苗代町城南,37.5589,140.1049,5弱,132.775,104.853,54.101,161.963,16.722,12.052,6.982,17.619,3.385,3.691,1.215,4.445,福島県会津,耶麻郡猪苗代町字城南100,37,33.5,140,6.3,199604011200,
42302,常陸大宮市中富町,36.5427,140.4109,4,78.393,83.704,47.947,94.397,6.802,6.209,3.237,7.04,0.907,1.362,0.611,1.402,茨城県北部,常陸大宮市中富町3135-6（常陸大宮市役所）,36,32.6,140,24.7,200011301200,
42304,筑西市舟生,36.2509,139.9321,5弱,117.724,126.5,45.926,146.317,10.022,9.317,2.545,11.291,1.884,1.734,0.7,2.12,茨城県南部,筑西市舟生1040（筑西市役所関城支所）,36,15.1,139,55.9,199604011200,
