地域名称,震度観測点名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
石狩地方北部,石狩市花川,石狩市花川北6条1-30-2（石狩市役所）,43,10.3,141,18.9,199604011200,
石狩地方北部,石狩市聚富,石狩市厚田区聚富256-56,43,16.5,141,25.1,201210021200,
石狩地方中部,札幌中央区北２条,札幌市中央区北2条西18-2（札幌管区気象台）,43,3.6,141,19.7,1876        ,
石狩地方中部,江別市高砂町,江別市高砂町6（江別市民会館）,43,6.2,141,32.2,199604011200,
石狩地方南部,千歳市北栄,千歳市北栄1-10-2（北栄小学校）,42,49.6,141,38.5,199604011200,
石狩地方南部,新千歳空港,千歳市美々新千歳空港内（新千歳航空測候所）,42,47.0,141,40.7,200707021200,
石狩地方南部,恵庭市漁平,恵庭市漁平（千歳川河川事務所漁川ダム管理支所）,42,50.6,141,26.8,199407151200,
渡島地方北部,八雲町大新,山越郡八雲町大新316-1,42,12.2,140,15.0,199407151200,199802091100
渡島地方北部,八雲町上の湯,二海郡八雲町上の湯70,42,7.2,140,22.0,199802091100,
渡島地方東部,函館市美原（旧）,函館市美原3-4-4（函館地方気象台）,41,49.0,140,45.2,1873        ,201903261200
渡島地方東部,函館市尾札部町,函館市尾札部町1423-1,41,53.4,141,1.7,199407151200,
渡島地方東部,函館市美原,函館市美原3-4-4（函館地方気象台）,41,49.0,140,45.2,201903261200,
渡島地方東部,七飯町桜町（旧）,亀田郡七飯町字桜町457（七飯消防署）,41,54.2,140,41.3,199604011200,201412171200
渡島地方東部,七飯町桜町,亀田郡七飯町桜町2-3-1（七飯消防署）,41,54.2,140,41.3,201412171200,
渡島地方東部,渡島森町上台町,茅部郡森町字上台町90-1(森測候所),42,6.4,140,34.1,193802      ,200203021200
渡島地方東部,渡島森町姫川,茅部郡森町字姫川120番地-11　渡島森農協農産加工研修センター（農協集出荷場）,42,4.1,140,35.3,200203021200,200403011200
渡島地方東部,渡島森町御幸町（旧）,茅部郡森町字御幸町144-1（森町役場）,42,6.3,140,34.6,200403011200,201312041200
