震度計番号,震度観測点名称,x,y,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm]
"47595",福島市松木町,,,,237.07,330.059,103.083,377.687,28.84,29.677,7.774,37.874,6.034,6.817,2.214,8.502
"41209",大崎市古川三日町,,,,187.909,197.009,103.757,203.122,27.061,19.248,9.391,30.446,7.034,4.242,4.66,7.564
"42212",涌谷町新町裏,,,,215.535,150.629,96.921,223.239,21.374,21.793,5.758,25.706,5.734,5.189,1.825,7.129
"42213",登米市中田町,,,,181.153,209.375,96.61,215.038,14.589,17.588,5.337,20.472,2.529,3.806,1.054,3.975
"47569",仙台空港,,,,270.252,281.089,208.965,299.371,23.368,23.553,10.143,32.406,6.767,7.59,2.512,10.092
"41216",南相馬市原町区三島町,,,,573.071,605.696,219.691,640.03,18.217,32.978,7.366,35.329,3.274,8.018,1.781,8.508
"42228",浪江町幾世橋,,,,513.444,514.784,434.455,542.837,23.19,38.425,8.344,42.247,3.393,8.713,1.1,8.76
"41207",奥州市水沢大鐘町,,,4,79.763,65.006,32.177,85.026,5.546,5.293,2.864,6.596,1.639,1.661,0.685,1.95
"47013",大崎市古川大崎,,,,157.108,161.54,48.895,205.803,11.456,14.581,5.747,16.117,3.694,5.047,2.174,5.51
"42210",柴田町船岡,,,,441.321,387.507,160.714,456.522,11.86,13.543,5.998,15.066,1.229,2.497,1.986,2.706
"47245",丸森町上滝,,,,351.703,247.116,132.917,357.832,12.435,15.235,7.484,18.98,2.691,2.798,2.182,4.129
"42211",松島町高城,,,,197.426,161.182,132.663,221.148,15.305,21.989,6.743,25.183,2.714,5.279,1.301,5.506
"47243",仙台青葉区大倉,,,,254.594,194.118,70.1,296.658,10.155,8.36,5.712,10.993,3.334,2.065,1.849,3.884
"47590",仙台宮城野区五輪,,,,179.645,177.938,95.521,193.232,17.004,17.593,8.715,19.122,3.88,5.484,3.121,6.533
"47592",石巻市泉町,,,,176.664,156.543,72.947,183.826,11.145,7.163,4.202,12.185,2.745,1.697,1.446,3.329
"41212",湯沢市沖鶴,,,3,24.847,22.317,11.523,27.448,3.696,3.596,1.653,4.3,1.058,1.206,0.476,1.394
"42222",遊佐町遊佐,,,4,29.74,35.138,12.074,41.048,6.324,6.819,3.926,8.36,2.665,2.665,1.823,3.257
"47587",酒田市亀ケ崎,,,4,32.575,34.576,11.341,37.391,7.346,6.536,4.149,7.412,4.955,2.625,2.41,5.159
